序号,汉字,拼音,义符（按字源）,声符（按字源）,构形依据,《说文》原文
2383,禅,shàn,示,單,从示單聲,祭天也。从示單聲。
2384,禽,qín,禸,今,从厹，象形，今聲,走獸緫名。从厹，象形，今聲。禽、离、兕頭相似。
2385,稀,xī,禾,希,从禾希聲,䟽也。从禾希聲。
2386,稃,fū,禾,孚,从禾孚聲,𥢶也。从禾孚聲。
2387,程,chéng,禾,呈,从禾呈聲,品也。十髮爲程，十程爲分，十分爲寸。从禾呈聲。
2388,稍,shāo,禾,肖,从禾肖聲,出物有漸也。从禾肖聲。
2389,税,shuì,禾,兌,从禾兌聲,租也。从禾兌聲。
2390,窖,jiào,穴,告,从穴告聲,地藏也。从穴告聲。
2391,窘,jiǒng,穴,君,从穴君聲,迫也。从穴君聲。
2392,竣,jùn,立,夋,从立夋聲,偓竣也。从立夋聲。《國語》曰：“有司巳事而竣。”
2393,童,tóng,䇂,重,从䇂，重省聲,男有辠曰奴，奴曰童，女曰妾。从䇂，重省聲。
2394,筒,dòng,竹,同,从竹同聲,通簫也。从竹同聲。
2395,策,cè,竹,朿,从竹朿聲,馬箠也。从竹朿聲。
2396,筚,bì,竹,畢,从竹畢聲,藩落也。从竹畢聲。《春秋傳》曰：“篳門圭窬。”
2397,筝,zhēng,竹,爭,从竹爭聲,鼓弦竹身樂也。从竹爭聲。
2398,筵,yán,竹,延,从竹延聲,竹席也。从竹延聲。《周禮》曰：“度堂以筵。”筵一丈。
2399,紫,zǐ,糸,此,从糸此聲,帛青赤色。从糸此聲。
2400,絮,xù,糸,如,从糸如聲,敝緜也。从糸如聲。
2401,缃,xiāng,糸,相,从糸相聲,帛淺黃色也。从糸相聲。
2402,缄,jiān,糸,咸,从糸咸聲,束篋也。从糸咸聲。
2403,缅,miǎn,糸,面,从糸面聲,微絲也。从糸面聲。
2404,缇,tǐ,糸,是,从糸是聲,帛丹黃色。从糸是聲。
2405,缉,jī,糸,咠,从糸咠聲,績也。从糸咠聲。
2406,缋,huì,糸,貴,从糸貴聲,織餘也。从糸貴聲。
2407,缌,sī,糸,思,从糸思聲,十五升布也。一曰兩麻一絲布也。从糸思聲。
2408,缏,biàn,糸,便,从糸便聲,交枲也。一曰緁衣也。从糸便聲。
2409,缒,zhuì,糸,追,”从糸追聲,以繩有所縣也。《春秋傳》曰：“夜縋納師。”从糸追聲。
2410,缔,dì,糸,帝,从糸帝聲,結不解也。从糸帝聲。
2411,缕,lǚ,糸,婁,从糸婁聲,綫也。从糸婁聲。
2412,编,biān,糸,扁,从糸扁聲,次𥳑也。从糸扁聲。
2413,缘,yuàn,糸,彖,从糸彖聲,衣純也。从糸彖聲。
2414,缙,jìn,糸,晉,从糸晉聲,帛赤色也。《春秋傳》“縉雲氏”，《禮》有“縉緣”。从糸晉聲。
2415,翔,xiáng,羽,羊,从羽羊聲,回飛也。从羽羊聲。
2416,翕,xī,羽,合,从羽合聲,起也。从羽合聲。
2417,翘,qiáo,羽,堯,从羽堯聲,尾長毛也。从羽堯聲。
2418,聒,guō,耳,𠯑,从耳𠯑聲,驩語也。从耳𠯑聲。
2419,脾,pí,肉,卑,从肉卑聲,土藏也。从肉卑聲。
2420,腆,tiǎn,肉,典,从肉典聲,設膳腆腆多也。从肉典聲。
2421,腊,là,肉,巤,从肉巤聲,冬至後三戌，臘祭百神。从肉巤聲。
2422,腌,yān,肉,奄,从肉奄聲,漬肉也。从肉奄聲。
2423,腓,féi,肉,非,从肉非聲,脛腨也。从肉非聲。
2424,腔,qiāng,肉,空,从肉从空，空亦聲,内空也。从肉从空，空亦聲。
2425,腴,yú,肉,臾,从肉臾聲,腹下𦘺也。从肉臾聲。
2426,舒,shū,予,予,从舍从予，予亦聲,伸也。从舍从予，予亦聲。一曰舒，緩也。
2427,舜,shùn,舜,舛,从舛，舛亦聲,艸也。楚謂之葍，秦謂之藑。蔓地連華。象形。从舛，舛亦聲。凡䑞之屬皆从䑞。(今隸變作舜。)
2428,艇,tǐng,舟,廷,从舟廷聲,小舟也。从舟廷聲。
2429,落,luò,艸,洛,从艸洛聲,凡艸曰零，木曰落。从艸洛聲。
2430,葆,bǎo,艸,𠈃,从艸𠈃聲,艸盛皃。从艸𠈃聲。
2431,葑,fēng,艸,封,从艸封聲,須從也。从艸封聲。
2432,葚,shèn,艸,甚,从艸甚聲,桑實也。从艸甚聲。
2433,葛,gé,艸,曷,从艸曷聲,絺綌艸也。从艸曷聲。
2434,葩,pā,艸,皅,从艸皅聲,華也。从艸皅聲。
2435,葭,jiā,艸,叚,从艸叚聲,葦之未秀者。从艸叚聲。
2436,葱,cōng,艸,悤,从艸悤聲,菜也。从艸悤聲。
2437,葵,kuí,艸,癸,从艸癸聲,菜也。从艸癸聲。
2438,葺,qì,艸,咠,从艸咠聲,茨也。从艸咠聲。
2439,蒉,kuì,艸,䝿,从艸䝿聲,艸器也。从艸䝿聲。
2440,蒋,jiāng,艸,將,从艸將聲,苽蔣也。从艸將聲。
2441,蒌,lóu,艸,婁,从艸婁聲,艸也。可以亨魚。从艸婁聲。
2442,蛘,yǎng,虫,羊,从虫羊聲,搔蛘也。从虫羊聲。
2443,蛟,jiāo,虫,交,从虫交聲,龍之屬也。池魚滿三千六百，蛟來爲之長，能率魚飛。置笱水中，卽蛟去。从虫交聲。
2444,蛩,qióng,虫,巩,从虫巩聲,蛩蛩，獸也。一曰秦謂蟬蛻曰蛩。从虫巩聲。
2445,蛭,zhì,虫,至,从虫至聲,蟣也。从虫至聲。
2446,蛮,mán,虫,䜌,从虫䜌聲,南蠻，蛇穜。从虫䜌聲。
2447,蛰,zhé,虫,執,从虫執聲,藏也。从虫執聲。
2448,蛱,jiá,虫,夾,从虫夾聲,蛺蜨也。从虫夾聲。
2449,蛲,náo,虫,堯,从虫堯聲,腹中短蟲也。从虫堯聲。
2450,蜓,diàn,虫,廷,从虫廷聲,蝘蜓也。从虫廷聲。一曰螾蜓。
2451,街,jiē,行,圭,从行圭聲,四通道也。从行圭聲。
2452,裁,cái,衣,𢦔,从衣𢦔聲,制衣也。从衣𢦔聲。
2453,裂,liè,衣,𠛱,从衣𠛱聲,繒餘也。从衣𠛱聲。
2454,装,zhuāng,衣,壯,从衣壯聲,裹也。从衣壯聲。
2455,裎,chéng,衣,呈,从衣呈聲,袒也。从衣呈聲。
2456,裕,yù,衣,谷,从衣谷聲,衣物饒也。从衣谷聲。《易》曰：“有孚，裕無咎。”
2457,觌,dí,見,𧸇,从見𧸇聲,見也。从見𧸇聲。
2458,觚,gū,角,瓜,从角瓜聲,鄉飮酒之爵也。一曰觴受三升者謂之觚。从角瓜聲。
2459,觞,shāng,角,𥏻,从角，𥏻省聲,觶實曰觴，虚曰觶。从角，𥏻省聲。
2460,谟,mó,言,莫,从言莫聲,議謀也。从言莫聲。《虞書》曰：“咎繇謨。”
2461,谠,dǎng,言,黨,从言黨聲,直言也。从言黨聲。
2462,谢,xiè,言,䠶,从言䠶聲,辤去也。从言䠶聲。
2463,谤,bàng,言,㫄,从言㫄聲,毀也。从言㫄聲。
2464,谦,qiān,言,兼,从言兼聲,敬也。从言兼聲。
2465,谧,mì,言,𥁑,从言𥁑聲,靜語也。从言𥁑聲。一曰無聲也。
2466,貂,diāo,豸,召,从豸召聲,鼠屬。大而黃黑，出胡丁零國。从豸召聲。
2467,赋,fù,貝,武,从貝武聲,斂也。从貝武聲。
2468,赌,dǔ,貝,者,从貝者聲,博簺也。从貝者聲。
2469,赍,jī,貝,齊,从貝齊聲,持遺也。从貝齊聲。
2470,赎,shú,貝,𧸇,从貝𧸇聲,貿也。从貝𧸇聲。
2471,赏,shǎng,貝,尚,从貝尚聲,賜有功也。从貝尚聲。
2472,赐,cì,貝,易,从貝易聲,予也。从貝易聲。
2473,趁,chèn,走,㐱,从走㐱聲,𧾍也。从走㐱聲。讀若塵。
2474,趄,jū,走,且,从走且聲,趑趄也。从走且聲。
2475,超,chāo,走,召,从走召聲,跳也。从走召聲。
2476,越,yuè,走,戉,从走戉聲,度也。从走戉聲。
2477,趋,qū,走,芻,从走芻聲,走也。从走芻聲。
2478,跋,bá,足,犮,从足犮聲,蹎跋也。从足犮聲。
2479,跌,diē,足,失,从足失聲,踼也。从足失聲。一曰越也。
2480,跎,tuó,足,它,从足它聲,蹉跎也。从足它聲。
2481,跖,zhí,足,石,从足石聲,足下也。从足石聲。
2482,跛,bǒ,足,皮,从足皮聲,行不正也。从足皮聲。一曰足排之。讀若彼。
2483,践,jiàn,足,戔,从足戔聲,履也。从足戔聲。
2484,辈,bèi,車,非,从車非聲,若軍發車百兩爲一輩。从車非聲。
2485,辊,gǔn,車,昆,从車昆聲,轂齊等皃。从車昆聲。《周禮》曰：“望其轂，欲其輥。”
2486,辍,chuò,車,叕,从車叕聲,車小缺復合者。从車叕聲。
2487,辎,zī,車,甾,从車甾聲,軿車前，衣車後也。从車甾聲。
2488,辜,gū,辛,古,从辛古聲,辠也。从辛古聲。
2489,逼,bī,辵,畐,从辵畐聲,近也。从辵畐聲。
2490,逾,yú,辵,俞,从辵俞聲,𨒋進也。从辵俞聲。《周書》曰：“無敢昬逾。”
2491,遁,dùn,辵,盾,从辵盾聲,遷也。一曰逃也。从辵盾聲。
2492,遂,suì,辵,㒸,从辵㒸聲,亾也。从辵㒸聲。
2493,遄,chuán,辵,耑,从辵耑聲,往來𢿙也。从辵耑聲。《易》曰：“㠯事遄往。”
2494,遇,yù,辵,禺,从辵禺聲,逢也。从辵禺聲。
2495,遏,è,辵,曷,从辵曷聲,微止也。从辵曷聲。讀若桑蟲之蝎。
2496,遐,xiá,辵,叚,从辵叚聲,遠也。从辵叚聲。
2497,遑,huáng,辵,皇,从辵皇聲,急也。从辵皇聲。或从彳。
2498,遗,yí,辵,䝿,从辵䝿聲,亾也。从辵䝿聲。
2499,酢,cù,酉,乍, 从酉乍聲,醶也。 从酉乍聲。
2500,酣,hān,酉,甘,从酉从甘，甘亦聲,酒樂也。从酉从甘，甘亦聲。
2501,酤,gū,酉,古,从酉古聲,一宿酒也。一曰買酒也。从酉古聲。
2502,释,shì,釆,睪,从睪聲,解也。从釆；釆，取其分別物也。从睪聲。
2503,量,liáng,重,曏,从重省，曏省聲,稱輕重也。从重省，曏省聲。
2504,铸,zhù,金,壽,从金壽聲,銷金也。从金壽聲。
2505,铺,pū,金,甫,从金甫聲,箸門鋪首也。从金甫聲。
2506,链,lián,金,連,从金連聲,銅屬。从金連聲。
2507,销,xiāo,金,肖,从金肖聲,鑠金也。从金肖聲。
2508,锁,suǒ,金,𧴪,从金𧴪聲,𨮯鎖，門鍵也。从金𧴪聲。
2509,锉,cuò,金,坐,从金坐聲,鍑也。从金坐聲。
2510,锊,lüè,金,寽,从金寽聲,十銖二十五分之十三也。从金寽聲。《周禮》曰：“重三鋝。”北方以二十兩爲鋝。
2511,锏,jiàn,金,閒,从金閒聲,車軸𨮯也。从金閒聲。
2512,锐,ruì,金,兌,从金兌聲,芒也。从金兌聲。
2513,锑,tí,金,弟,从金弟聲,鎕銻也。从金弟聲。
2514,锒,láng,金,良,从金良聲,鋃鏜，瑣也。从金良聲。
2515,阑,lán,門,柬,从門柬聲,門遮也。从門柬聲。
2516,阒,qù,門,狊,从門狊聲,靜也。从門狊聲。
2517,阔,kuò,門,𣴠,从門𣴠聲,䟽也。从門𣴠聲。
2518,阕,què,門,癸,从門癸聲,事巳，閉門也。从門癸聲。
2519,隔,gé,𨸏,鬲,从𨸏鬲聲,障也。从𨸏鬲聲。
2520,隙,xì,𨸏,𡭴,从𨸏从𡭴，𡭴亦聲,壁際孔也。从𨸏从𡭴，𡭴亦聲。
2521,雁,yàn,隹,厂,从隹从人，厂聲,鳥也。从隹从人，厂聲。讀若鴈。
2522,雄,xióng,隹,厷,从隹厷聲,鳥父也。从隹厷聲。
2523,雅,yǎ,隹,牙,从隹牙聲,楚烏也。一名鸒，一名卑居。秦謂之雅。从隹牙聲。
2524,雇,hù,隹,戶,从隹戶聲,九雇。農桑候鳥，扈民不婬者也。从隹戶聲。春雇，鳻盾；夏雇，竊玄；秋雇，竊藍；冬雇，竊黃；𣗥雇，竊丹；行雇，唶唶；宵雇，嘖嘖；桑雇，竊脂；老雇，鷃也。
2525,靓,jìng,見,青,从見青聲,召也。从見青聲。
2526,颉,xié,頁,吉,从頁吉聲,直項也。从頁吉聲。
2527,颊,jiá,頁,夾,从頁夾聲,面㫄也。从頁夾聲。
2528,颌,hàn,頁,合,从頁合聲,𩔞也。从頁合聲。
2529,颍,yǐng,水,頃,从水頃聲,水。出潁川陽城乾山，東入淮。从水頃聲。豫州浸。
2530,颏,hái,頁,亥,从頁亥聲,醜也。从頁亥聲。
2531,飨,xiǎng,食,鄉,从食从鄉，鄉亦聲,鄉人飲酒也。从食从鄉，鄉亦聲。
2532,馈,kuì,食,貴,从食貴聲,餉也。从食貴聲。
2533,骚,sāo,馬,蚤,从馬蚤聲,擾也。一曰摩馬。从馬蚤聲。
2534,骛,wù,馬,敄,从馬敄聲,亂馳也。从馬敄聲。
2535,鲁,lǔ,𪞶,鮺,从白，鮺省聲,鈍詞也。从白，鮺省聲。《論語》曰：“參也魯。”
2536,鲂,fáng,魚,方,从魚方聲,赤尾魚。从魚方聲。
2537,鹄,hú,鳥,告,从鳥告聲,鴻鵠也。从鳥告聲。
2538,鹆,yù,鳥,谷,从鳥谷聲,鴝鵒也。从鳥谷聲。古者鴝鵒不踰泲。
2539,鹇,xián,鳥,閒,从鳥閒聲,鴟也。从鳥閒聲。
2540,黍,shǔ,黍,雨,从禾，雨省聲,禾屬而黏者也。以大暑而穜，故謂之黍。从禾，雨省聲。孔子曰：“黍可爲酒，禾入水也。”凡黍之屬皆从黍。
2541,鼋,yuán,黽,元,从𪓑元聲,大鼈也。从𪓑元聲。
2542,催,cuī,人,崔,从人崔聲,相儔也。从人崔聲。《詩》曰：“室人交徧催我。”
2543,像,xiàng,人,象,从人从象，象亦聲,象也。从人从象，象亦聲。讀若養。
2544,剽,piào,刀,𤐫,从刀𤐫聲,砭刺也。从刀𤐫聲。一曰剽，劫人也。
2545,勤,qín,力,𡏳,从力𡏳聲,勞也。从力𡏳聲。
2546,嗌,yì,口,益,从口益聲,咽也。从口益聲。
2547,嗑,kè,口,盍,从口盍聲,多言也。从口盍聲。讀若甲。
2548,嗔,tián,口,眞,从口眞聲,盛气也。从口眞聲。《詩》曰：“振旅嗔嗔。”
2549,嗜,shì,口,耆,从口耆聲,嗜欲，喜之也。从口耆聲。
2550,嗣,sì,冊,司,从冊从口，司聲,諸侯嗣國也。从冊从口，司聲。
2551,嗥,háo,口,皐,从口皐聲,咆也。从口皐聲。
2552,嗷,áo,口,敖,从口敖聲,眾口愁也。从口敖聲。《詩》曰：“哀鳴嗷嗷。”
2553,塍,chéng,土,朕,从土朕聲,稻中畦也。从土朕聲。
2554,塘,táng,土,唐,从土唐聲,隄也。从土唐聲。
2555,墓,mù,土,莫,从土莫聲,丘也。从土莫聲。
2556,媲,pì,女,𣬉,从女𣬉聲,妃也。从女𣬉聲。
2557,媾,gòu,女,冓,从女冓聲,重㛰也。从女冓聲。《易》曰：“匪寇，㛰媾。”
2558,嫁,jià,女,家,从女家聲,女適人也。从女家聲。
2559,嫌,xián,女,兼,从女兼聲,不平於心也。一曰疑也。从女兼聲。
2560,嫔,pín,女,賓,从女賓聲,服也。从女賓聲。
2561,幕,mù,巾,莫,从巾莫聲,帷在上曰幕，覆食案亦曰幕。从巾莫聲。
2562,廉,lián,广,兼,从广兼聲,庂也。从广兼聲。
2563,彀,gòu,弓,𣪊,从弓𣪊聲,張弩也。从弓𣪊聲。
2564,微,wēi,彳,𢼸,从彳𢼸聲,隱行也。从彳𢼸聲。《春秋傳》曰：“白公其徒微之。”
2565,想,xiǎng,心,相,从心相聲,冀思也。从心相聲。
2566,愁,chóu,心,秋,从心秋聲,憂也。从心秋聲。
2567,愆,qiān,心,衍,从心衍聲,過也。从心衍聲。
2568,愍,mǐn,心,敃,从心敃聲,痛也。从心敃聲。
2569,感,gǎn,心,咸,从心咸聲,動人心也。从心咸聲。
2570,慈,cí,心,兹,从心兹聲,愛也。从心兹聲。
2571,慊,xián,心,兼,从心兼聲,疑也。从心兼聲。
2572,慑,shè,心,聶,从心聶聲,失气也。从心聶聲。一曰服也。
2573,搏,bó,手,尃,从手尃聲,索持也。一曰至也。从手尃聲。
2574,搦,nuò,手,弱,从手弱聲,按也。从手弱聲。
2575,携,xié,手,雟,从手雟聲,提也。从手雟聲。
2576,摄,shè,手,聶,从手聶聲,引持也。从手聶聲。
2577,摇,yáo,手,䍃,从手䍃聲,動也。从手䍃聲。
2578,摊,tān,手,難,从手難聲,開也。从手難聲。
2579,敫,jiào,欠,噭,从欠，噭省聲,所，謌也。从欠，噭省聲。讀若叫呼之叫。
2580,数,shǔ,攴,婁,从攴婁聲,計也。从攴婁聲。
2581,斟,zhēn,斗,甚,从斗甚聲,勺也。从斗甚聲。
2582,新,xīn,斤,新,从斤新聲,取木也。从斤新聲。
2583,暇,xiá,日,叚,从日叚聲,閑也。从日叚聲。
2584,暗,àn,日,音,从日音聲,日無光也。从日音聲。
2585,椽,chuán,木,彖,从木彖聲,榱也。从木彖聲。
2586,楔,xiè,木,契,从木契聲,櫼也。从木契聲。
2587,楚,chǔ,林,疋,从林疋聲,叢木。一名荊也。从林疋聲。
2588,楝,liàn,木,柬,从木柬聲,木也。从木柬聲。
2589,楣,méi,木,眉,从木眉聲,秦名屋𣝼聯也。齊謂之檐，楚謂之梠。从木眉聲。
2590,楫,jí,木,咠,从木咠聲,舟櫂也。从木咠聲。
2591,楷,jiē,木,皆,从木皆聲,木也。孔子冢蓋樹之者。从木皆聲。
2592,楸,qiū,木,秋,从木秋聲,梓也。从木秋聲。
2593,楹,yíng,木,盈,从木盈聲,柱也。从木盈聲。《春秋傳》曰：“丹桓宫楹。”
2594,楼,lóu,木,婁,从木婁聲,重屋也。从木婁聲。
2595,榆,yú,木,俞,从木俞聲,榆，白枌。从木俞聲。
2596,榇,chèn,木,親,从木親聲,棺也。从木親聲。《春秋傳》曰：“士輿櫬。”
2597,槌,zhuì,木,追,从木追聲,關東謂之槌，關西謂之㭙。从木追聲。
2598,槎,chá,木,差,从木差聲,衺斫也。从木差聲。《春秋傳》曰：“山不槎。”
2599,槐,huái,木,鬼,从木鬼聲,木也。从木鬼聲。
2600,歃,shà,欠,臿,从欠臿聲,歠也。从欠臿聲。《春秋傳》曰：“歃而忘。”
2601,歆,xīn,欠,音,从欠音聲,神食气也。从欠音聲。
2602,歇,xiē,欠,曷,从欠曷聲,息也。一曰气越泄。从欠曷聲。
2603,歌,gē,欠,哥,从欠哥聲,詠也。从欠哥聲。
2604,殿,diàn,殳,𡱂,从殳𡱂聲,擊聲也。从殳𡱂聲。
2605,毁,huǐ,火,毀,从火毀聲,火也。从火毀聲。《春秋傳》曰：“衞矦燬。”
2606,毂,gǔ,車,𣪊,从車𣪊聲,輻所凑也。从車𣪊聲。
2607,毹,yú,毛,俞,从毛俞聲,氍毹也。从毛俞聲。
2608,溘,kè,水,盍,从水盍聲,奄忽也。从水盍聲。
2609,溟,míng,水,冥,从水冥聲,小雨溟溟也。从水冥聲。
2610,溢,yì,水,益,从水益聲,器滿也。从水益聲。
2611,溥,pǔ,水,尃,从水尃聲,大也。从水尃聲。
2612,溧,lì,水,栗,从水栗聲,水。出丹陽溧陽縣。从水栗聲。
2613,溯,sù,水,㡿,从水㡿聲,逆流而上曰㴑洄。㴑，向也。水欲下違之而上也。从水㡿聲。
2614,溱,zhēn,水,秦,从水秦聲,水。出桂陽臨武，入匯。从水秦聲。
2615,溶,yǒng,水,容,从水容聲,水盛也。从水容聲。
2616,溷,hùn,水,圂,从水圂聲,亂也。一曰水濁皃。从水圂聲。
2617,溺,ruò,水,弱,从水弱聲,水。自張掖𠛹丹西，至酒泉合黎，餘波入于流沙。从水弱聲。桑欽所說。
2618,溽,rù,水,辱,从水辱聲,溼暑也。从水辱聲。
2619,滂,pāng,水,㫄,从水㫄聲,沛也。从水㫄聲。
2620,滇,diān,水,眞,从水眞聲,益州池名。从水眞聲。
2621,滓,zǐ,水,宰,从水宰聲,澱也。从水宰聲。
2622,滔,tāo,水,舀,从水舀聲,水漫漫大皃。从水舀聲。
2623,满,mǎn,水,㒼,从水㒼聲,盈溢也。从水㒼聲。
2624,滥,làn,水,監,从水監聲,氾也。从水監聲。一曰濡上及下也。《詩》曰：“𧥑沸濫泉。”一曰清也。
2625,漠,mò,水,莫,从水莫聲,北方流沙也。一曰清也。从水莫聲。
2626,煌,huáng,火,皇,从火皇聲,煌，煇也。从火皇聲。
2627,煎,jiān,火,前,从火前聲,熬也。从火前聲。
2628,煜,yù,火,昱,从火昱聲,熠也。从火昱聲。
2629,煦,xù,火,昫,从火昫聲,烝也。一曰赤皃。一曰溫潤也。从火昫聲。
2630,照,zhào,火,昭,从火昭聲,明也。从火昭聲。
2631,煨,wēi,火,畏,从火畏聲,盆中火。从火畏聲。
2632,牒,dié,片,枼,从片枼聲,札也。从片枼聲。
2633,献,xiàn,犬,鬳,从犬鬳聲,宗廟犬名羹獻。犬肥者以獻之。从犬鬳聲。
2634,獒,áo,犬,敖,从犬敖聲,犬如人心可使者。从犬敖聲。《春秋傳》曰：“公嗾夫獒。”
2635,瑁,mào,玉,冒,”从玉、冒，冒亦聲,諸侯執圭朝天子，天子執玉以冒之，似犂冠。《周禮》曰：“天子執瑁四寸。”从玉、冒，冒亦聲。
2636,瑕,xiá,玉,叚,从玉叚聲,玉小赤也。从玉叚聲。
2637,瑗,yuàn,玉,爰,从玉爰聲,大孔璧。人君上除陛以相引。从玉爰聲。《爾雅》曰：“好倍肉謂之瑗，肉倍好謂之璧。”
2638,瑚,hú,玉,胡,从玉胡聲,珊瑚也。从玉胡聲。
2639,瑜,yú,玉,俞,从玉俞聲,瑾瑜，美玉也。从玉俞聲。
2640,瑟,sè,珡,必,从珡必聲,庖犧所作弦樂也。从珡必聲。
2641,瑰,guī,玉,鬼,从玉鬼聲,玟瑰。从玉鬼聲。一曰圜好。
2642,甄,zhēn,瓦,垔,从瓦垔聲,匋也。从瓦垔聲。
2643,畸,jī,田,奇,从田奇聲,殘田也。从田奇聲。
2644,畹,wǎn,田,宛,从田宛聲,田三十畝也。从田宛聲。
2645,痱,féi,疒,非,从疒非聲,風病也。从疒非聲。
2646,痴,chī,疒,疑,从疒疑聲,不慧也。从疒疑聲。
2647,痹,bì,疒,𢌿,从疒𢌿聲,溼病也。从疒𢌿聲。
2648,痿,wěi,疒,委,从疒委聲,痹也。从疒委聲。
2649,瘀,yū,疒,於,从疒於聲,積血也。从疒於聲。
2650,瘃,zhú,疒,豖,从疒豖聲,中寒腫覈。从疒豖聲。
2651,瘅,dàn,疒,單,从疒單聲,勞病也。从疒單聲。
2652,皙,xī,白,析,从白析聲,人色白也。从白析聲。
2653,睢,huī,目,隹,从目隹聲,仰目也。从目隹聲。
2654,督,dū,目,叔,从目叔聲,察也。一曰目痛也。从目叔聲。
2655,睦,mù,目,坴,从目坴聲,目順也。从目坴聲。一曰敬和也。
2656,睨,nì,目,兒,从目兒聲,衺視也。从目兒聲。
2657,睹,dǔ,目,者,从目者聲,見也。从目者聲。
2658,矮,ǎi,矢,委,从矢委聲,短人也。从矢委聲。
2659,碌,lù,石,彔,从石彔聲,石皃。从石彔聲。
2660,碍,ài,石,疑,从石疑聲,止也。从石疑聲。
2661,碎,suì,石,卒,从石卒聲,䃺也。从石卒聲。
2662,碑,bēi,石,卑,从石卑聲,豎石也。从石卑聲。
2663,碓,duì,石,隹,从石隹聲,舂也。从石隹聲。
2664,碛,qì,石,責,从石責聲,水陼有石者。从石責聲。
2665,禁,jìn,示,林,从示林聲,吉凶之忌也。从示林聲。
2666,福,fú,示,畐,从示畐聲,祐也。从示畐聲。
2667,稔,rěn,禾,念,从禾念聲,穀孰也。从禾念聲。《春秋傳》曰：“鮮不五稔。”
2668,稗,bài,禾,卑,从禾卑聲,禾別也。从禾卑聲。琅邪有稗縣。
2669,稞,huà,禾,果,从禾果聲,穀之善者。从禾果聲。一曰無皮穀。
2670,稠,chóu,禾,周,从禾周聲,多也。从禾周聲。
2671,稣,sū,禾,魚,从禾魚聲,把取禾若也。从禾魚聲。
2672,窠,kē,穴,果,从穴果聲,空也。穴中曰窠，樹上曰巢。从穴果聲。
2673,窥,kuī,穴,規,从穴規聲,小視也。从穴規聲。
2674,窦,dòu,穴,瀆,从穴，瀆省聲,空也。从穴，瀆省聲。
2675,筠,yún,竹,均,从竹均聲,竹皮也。从竹均聲。
2676,筱,xiǎo,竹,攸,从竹攸聲,箭屬。小竹也。从竹攸聲。
2677,筹,chóu,竹,壽,从竹壽聲,壺矢也。从竹壽聲。
2678,签,qiān,竹,韱,从竹韱聲,驗也。一曰銳也，貫也。从竹韱聲。
2679,简,jiǎn,竹,閒,从竹閒聲,牒也。从竹閒聲。
2680,粮,liáng,米,量,从米量聲,穀也。从米量聲。
2681,粱,liáng,米,梁,从米，梁省聲,米名也。从米，梁省聲。
2682,粲,càn,米,𣦼,从米𣦼聲,稻重一䄷，爲粟二十斗，爲米十斗，曰毇；爲米六斗太半斗，曰粲。从米𣦼聲。
2683,缚,fù,糸,尃,从糸尃聲,束也。从糸尃聲。
2684,缛,rù,糸,辱,从糸辱聲,繁采色也。从糸辱聲。
2685,缝,féng,糸,逢,从糸逢聲,以鍼紩衣也。从糸逢聲。
2686,缟,gǎo,糸,高,从糸高聲,鮮色也。从糸高聲。
2687,缠,chán,糸,廛,从糸廛聲,繞也。从糸廛聲。
2688,缡,lí,糸,离,从糸离聲,以絲介履也。从糸离聲。
2689,缢,yì,糸,益,从糸益聲,經也。从糸益聲。《春秋傳》曰：“夷姜縊。”
2690,缣,jiān,糸,兼,从糸兼聲,幷絲繒也。从糸兼聲。
2691,罨,yǎn,网,奄,从网奄聲,䍑也。从网奄聲。
2692,罩,zhào,网,卓,从网卓聲,捕魚器也。从网卓聲。
2693,署,shǔ,网,者,从网者聲,部署，有所网屬。从网者聲。
2694,群,qún,羊,君,从羊君聲,輩也。从羊君聲。
2695,聘,pìn,耳,甹,从耳甹聲,訪也。从耳甹聲。
2696,腥,xìng,肉,星,从肉从星，星亦聲,星見食豕，令肉中生小息肉也。从肉从星，星亦聲。
2697,腹,fù,肉,复,从肉复聲,厚也。从肉复聲。
2698,腻,nì,肉,貳,从肉貳聲,上𦘺也。从肉貳聲。
2699,腼,tiǎn,面,見,从面、見，見亦聲,面見也。从面、見，見亦聲。《詩》曰：“有靦面目。”
2700,腾,téng,馬,朕,从馬朕聲,傳也。从馬朕聲。一曰騰，犗馬也。
2701,舅,jiù,男,臼,从男臼聲,母之兄弟爲𦥶，妻之父爲外𦥶。从男臼聲。
2702,蒙,méng,艸,冡,从艸冡聲,王女也。从艸冡聲。
2703,蒜,suàn,艸,祘,从艸祘聲,葷菜。从艸祘聲。
2704,蒲,pú,艸,浦,从艸浦聲,水艸也。可以作席。从艸浦聲。
2705,蒸,zhēng,艸,烝,从艸烝聲,折麻中榦也。从艸烝聲。
2706,蒹,jiān,艸,兼,从艸兼聲,雚之未秀者。从艸兼聲。
2707,蒿,hāo,艸,高,从艸高聲,菣也。从艸高聲。
2708,蓁,zhēn,艸,秦,从艸秦聲,艸盛皃。从艸秦聲。
2709,蓄,xù,艸,畜,从艸畜聲,積也。从艸畜聲。
2710,蓉,róng,艸,容,从艸容聲,芙蓉也。从艸容聲。
2711,蓍,shī,艸,耆,从艸耆聲,蒿屬。生十歲，百莖。《易》以爲𢿙。天子蓍九尺，諸侯七尺，大夫五尺，士三尺。从艸耆聲。
